City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
223,nuuk,64.1835,-51.7216,-2.66,74,100,1.54,GL,1702264855
224,kudahuvadhoo,2.6708,72.8944,28.3,74,82,3.65,MV,1702264855
225,paoua,7.2427,16.4406,20.94,29,100,2.19,CF,1702264855
226,cozumel,20.5083,-86.9458,23.04,88,75,5.66,MX,1702264564
227,tarrafal de sao nicolau,16.5667,-24.3667,24.94,72,7,4.64,CV,1702264855
228,changyon,38.2508,125.0961,6.35,89,100,5.34,KP,1702264855
229,taltal,-25.4,-70.4833,16.55,84,74,0.55,CL,1702264855
230,sidi ifni,29.3797,-10.173,17.86,44,100,0.87,MA,1702264855
231,namibe,-15.1961,12.1522,21.61,78,86,2.46,AO,1702264856
232,dives-sur-mer,49.2818,-0.1013,12.43,85,100,8.47,FR,1702264856
233,t'ongch'on-up,38.9539,127.8917,4.46,98,100,8.46,KP,1702264856
234,puerto ayora,-0.7393,-90.3518,24.01,87,32,3.51,EC,1702264856
235,al kharijah,25.4514,30.5464,15.32,33,6,1.9,EG,1702264856
236,ukmerge,55.25,24.75,-3.51,95,100,5.74,LT,1702264856
237,buta,2.7858,24.73,20.62,99,96,0.31,CD,1702264856
238,kikwit,-5.041,18.8162,20.83,98,100,0.35,CD,1702264856
239,paracuru,-3.41,-39.0306,27.84,72,57,5.55,BR,1702264856
240,ingeniero jacobacci,-41.3427,-69.5448,20.82,31,100,2.92,AR,1702264856
241,yeppoon,-23.1333,150.7333,26.88,75,98,10.46,AU,1702264856
242,lebu,-37.6167,-73.65,12.51,90,77,6.48,CL,1702264856
243,kruisfontein,-34.0033,24.7314,12.71,92,0,1.45,ZA,1702264857
244,lisala,2.15,21.5167,21.92,87,92,0.45,CD,1702264857
245,lakheri,25.6667,76.1667,17.31,56,0,1.36,IN,1702264857
246,suncho corral,-27.9336,-63.4294,21.37,57,0,4.48,AR,1702264857
247,alofi,-19.0595,-169.9187,22.94,94,100,3.6,NU,1702264857
248,saint-pierre,-21.3393,55.4781,28.09,69,0,1.54,RE,1702264857
